code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.416139.8', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460804.e', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460806.c', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.416398.1', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460648.8', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.414009.8', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.416790.d', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.1057.3', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460669.b', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': None, 'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'country_code': 'GB', 'email_address': '', 'established': 1834, 'geonames_city_id': 2641673, 'grid_id': 'grid.1006.7', 'lat': 54.978, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.ncl.ac.uk/', 'lng': -1.615, 'name': 'Newcastle University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.454379.8', 'relationship_type': 'Related', 'state': '', 'state_code': '', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Newcastle_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1006.7'}
